pmcid,pmid,doi,title,abstract,year,journal,authors,matched_parts,retrieval_reason
PMC6339355,30675181,10.1186/s13036-019-0141-z,Utilising datasheets for the informed automated design and build of a synthetic metabolic pathway,"The automation of modular cloning methodologies permits the assembly of many genetic designs. Utilising characterised biological parts aids in the design and redesign of genetic pathways. The characterisation information held on datasheets can be used to determine whether a biological part meets the design requirements. To manage the design of genetic pathways, researchers have turned to modelling-based computer aided design software tools. An automated workflow has been developed for the design and build of heterologous metabolic pathways. In addition, to demonstrate the powers of electronic datasheets we have developed software which can transfer part information from a datasheet to the Design of Experiment software JMP. To this end we were able to use Design of Experiment software to rationally design and test randomised samples from the design space of a lycopene pathway in E. coli. This pathway was optimised by individually modulating the promoter strength, RBS strength, and gene order targets. The use of standardised and characterised biological parts will empower a design-oriented synthetic biology for the forward engineering of heterologous expression systems. A Design of Experiment approach streamlines the design-build-test cycle to achieve optimised solutions in biodesign. Developed automated workflows provide effective transfer of information between characterised information (in the form of datasheets) and DoE software. The online version of this article (10.1186/s13036-019-0141-z) contains supplementary material, which is available to authorized users.",2019,Journal of Biological Engineering,"Exley K., Reynolds C., Suckling L., Chee S., Tsipa A., Freemont P., McClymont D., Kitney R.",BBa_F2620,biobrick_fulltext_search
PMC6267845,30501633,10.1186/s12934-018-1038-0,"Engineered E. coli W enables efficient 2,3-butanediol production from glucose and sugar beet molasses using defined minimal medium as economic basis","Efficient microbial production of chemicals is often hindered by the cytotoxicity of the products or by the pathogenicity of the host strains. Hence 2,3-butanediol, an important drop-in chemical, is an interesting alternative target molecule for microbial synthesis since it is non-cytotoxic. Metabolic engineering of non-pathogenic and industrially relevant microorganisms, such as Escherichia coli, have already yielded in promising 2,3-butanediol titers showing the potential of microbial synthesis of 2,3-butanediol. However, current microbial 2,3-butanediol production processes often rely on yeast extract as expensive additive, rendering these processes infeasible for industrial production. The aim of this study was to develop an efficient 2,3-butanediol production process with E. coli operating on the premise of using cost-effective medium without complex supplements, considering second generation feedstocks. Different gene donors and promoter fine-tuning allowed for construction of a potent E. coli strain for the production of 2,3-butanediol as important drop-in chemical. Pulsed fed-batch cultivations of E. coli W using microaerobic conditions showed high diol productivity of 4.5 g l−1 h−1. Optimizing oxygen supply and elimination of acetoin and by-product formation improved the 2,3-butanediol titer to 68 g l−1, 76% of the theoretical maximum yield, however, at the expense of productivity. Sugar beet molasses was tested as a potential substrate for industrial production of chemicals. Pulsed fed-batch cultivations produced 56 g l−1 2,3-butanediol, underlining the great potential of E. coli W as production organism for high value-added chemicals. A potent 2,3-butanediol producing E. coli strain was generated by considering promoter fine-tuning to balance cell fitness and production capacity. For the first time, 2,3-butanediol production was achieved with promising titer, rate and yield and no acetoin formation from glucose in pulsed fed-batch cultivations using chemically defined medium without complex hydrolysates. Furthermore, versatility of E. coli W as production host was demonstrated by efficiently converting sucrose from sugar beet molasses into 2,3-butanediol. The online version of this article (10.1186/s12934-018-1038-0) contains supplementary material, which is available to authorized users.",2018,Microbial Cell Factories,"Erian A., Gibisch M., Pflügl S.",BBa_B1001;BBa_J23105;BBa_J23109;BBa_J23114,biobrick_fulltext_search
PMC6250736,30467337,10.1038/s41467-018-07144-7,Encryption and steganography of synthetic gene circuits,"Synthetic biologists use artificial gene circuits to control and engineer living cells. As engineered cells become increasingly commercialized, it will be desirable to protect the intellectual property contained in these circuits. Here, we introduce strategies to hide the design of synthetic gene circuits, making it more difficult for an unauthorized third party to determine circuit structure and function. We present two different approaches: the first uses encryption by overlapping uni-directional recombinase sites to scramble circuit topology and the second uses steganography by adding genes and interconnections to obscure circuit topology. We also discuss a third approach: to use synthetic genetic codes to mask the function of synthetic circuits. For each approach, we discuss relative strengths, weaknesses, and practicality of implementation, with the goal to inspire further research into this important and emerging area. Artificial gene circuits represent intellectual property that under some circumstances may need to be obfuscated to prevent discovery by third parties. Here the authors use encryption by overlapping recombinase sites and steganography by the introduction of superfluous components, to obscure circuit topology.",2018,Nature Communications,"Purcell O., Wang J., Siuti P., Lu T.",BBa_J23119,biobrick_fulltext_search
PMC6237744,30289463,10.1093/nar/gky884,Engineered dCas9 with reduced toxicity in bacteria: implications for genetic circuit design,"Large synthetic genetic circuits require the simultaneous expression of many regulators. Deactivated Cas9 (dCas9) can serve as a repressor by having a small guide RNA (sgRNA) direct it to bind a promoter. The programmability and specificity of RNA:DNA basepairing simplifies the generation of many orthogonal sgRNAs that, in theory, could serve as a large set of regulators in a circuit. However, dCas9 is toxic in many bacteria, thus limiting how high it can be expressed, and low concentrations are quickly sequestered by multiple sgRNAs. Here, we construct a non-toxic version of dCas9 by eliminating PAM (protospacer adjacent motif) binding with a R1335K mutation (dCas9*) and recovering DNA binding by fusing it to the PhlF repressor (dCas9*_PhlF). Both the 30 bp PhlF operator and 20 bp sgRNA binding site are required to repress a promoter. The larger region required for recognition mitigates toxicity in Escherichia coli, allowing up to 9600 ± 800 molecules of dCas9*_PhlF per cell before growth or morphology are impacted, as compared to 530 ± 40 molecules of dCas9. Further, PhlF multimerization leads to an increase in average cooperativity from n = 0.9 (dCas9) to 1.6 (dCas9*_PhlF). A set of 30 orthogonal sgRNA–promoter pairs are characterized as NOT gates; however, the simultaneous use of multiple sgRNAs leads to a monotonic decline in repression and after 15 are co-expressed the dynamic range is <10-fold. This work introduces a non-toxic variant of dCas9, critical for its use in applications in metabolic engineering and synthetic biology, and exposes a limitation in the number of regulators that can be used in one cell when they rely on a shared resource.",2018,Nucleic Acids Research,"Zhang S., Voigt C.",BBa_J23101,biobrick_fulltext_search
PMC6296438,30568914,10.3390/pr6090167,Towards an Aspect-Oriented Design and Modelling Framework for Synthetic Biology,"Work on synthetic biology has largely used a component-based metaphor for system construction. While this paradigm has been successful for the construction of numerous systems, the incorporation of contextual design issues—either compositional, host or environmental—will be key to realising more complex applications. Here, we present a design framework that radically steps away from a purely parts-based paradigm by using aspect-oriented software engineering concepts. We believe that the notion of concerns is a powerful and biologically credible way of thinking about system synthesis. By adopting this approach, we can separate core concerns, which represent modular aims of the design, from cross-cutting concerns, which represent system-wide attributes. The explicit handling of cross-cutting concerns allows for contextual information to enter the design process in a modular way. As a proof-of-principle, we implemented the aspect-oriented approach in the Python tool, SynBioWeaver, which enables the combination, or weaving, of core and cross-cutting concerns. The power and flexibility of this framework is demonstrated through a number of examples covering the inclusion of part context, combining circuit designs in a context dependent manner, and the generation of rule, logic and reaction models from synthetic circuit designs.",2018,"Processes (Basel, Switzerland)","Boeing P., Leon M., Nesbeth D., Finkelstein A., Barnes C.",BBa_B0030,biobrick_fulltext_search
PMC6261649,30498777,10.1126/sciadv.aat5771,"Negative feedback increases information transmission, enabling bacteria to discriminate sublethal antibiotic concentrations","Bacteria have evolved 2-bit depth sensors able to evaluate antibiotic threats. In the cell, noise constrains information transmission through signaling pathways and regulatory networks. There is growing evidence that the channel capacity of cellular pathways is limited to a few bits, questioning whether cells quantify external stimuli or rely on threshold detection and binary on/off decisions. Here, using fluorescence microscopy and information theory, we analyzed the ability of the transcriptional regulator TetR to sense and quantify the antibiotic tetracycline. The results showed that noise filtering by negative feedback increased information transmission up to 2 bits, generating a graded response able to discriminate different antibiotic concentrations. This response matched the antibiotic subinhibitory selection window, suggesting that information transmission through TetR is optimized to quantify sublethal antibiotic levels. Noise filtering by negative feedback may thus boost the discriminative power of cellular sensors, enabling signal quantification.",2018,Science Advances,"Ruiz R., de la Cruz F., Fernandez-Lopez R.",BBa_B1007,biobrick_fulltext_search
PMC6263354,30482789,10.15252/msb.20188605,Dynamic control of endogenous metabolism with combinatorial logic circuits,"Controlling gene expression during a bioprocess enables real‐time metabolic control, coordinated cellular responses, and staging order‐of‐operations. Achieving this with small molecule inducers is impractical at scale and dynamic circuits are difficult to design. Here, we show that the same set of sensors can be integrated by different combinatorial logic circuits to vary when genes are turned on and off during growth. Three Escherichia coli sensors that respond to the consumption of feedstock (glucose), dissolved oxygen, and by‐product accumulation (acetate) are constructed and optimized. By integrating these sensors, logic circuits implement temporal control over an 18‐h period. The circuit outputs are used to regulate endogenous enzymes at the transcriptional and post‐translational level using CRISPRi and targeted proteolysis, respectively. As a demonstration, two circuits are designed to control acetate production by matching their dynamics to when endogenous genes are expressed (pta or poxB) and respond by turning off the corresponding gene. This work demonstrates how simple circuits can be implemented to enable customizable dynamic gene regulation.",2018,Molecular Systems Biology,"Moser F., Espah Borujeni A., Ghodasara A., Cameron E., Park Y., Voigt C.",BBa_J23101;BBa_J23119;BBa_J23150,biobrick_fulltext_search
PMC6212724,30085248,10.1093/nar/gky709,A glutamine riboswitch is a key element for the regulation of glutamine synthetase in cyanobacteria,"As the key enzyme of bacterial nitrogen assimilation, glutamine synthetase (GS) is tightly regulated. In cyanobacteria, GS activity is controlled by the interaction with inactivating protein factors IF7 and IF17 encoded by the genes gifA and gifB, respectively. We show that a glutamine-binding aptamer within the gifB 5′ UTR of Synechocystis sp. PCC 6803 is critical for the expression of IF17. Binding of glutamine induced structural re-arrangements in this RNA element leading to enhanced protein synthesis in vivo and characterizing it as a riboswitch. Mutagenesis showed the riboswitch mechanism to contribute at least as much to the control of gene expression as the promoter-mediated transcriptional regulation. We suggest this and a structurally related but distinct element, to be designated type 1 and type 2 glutamine riboswitches. Extended biocomputational searches revealed that glutamine riboswitches are exclusively but frequently found in cyanobacterial genomes, where they are primarily associated with gifB homologs. Hence, this RNA-based sensing mechanism is common in cyanobacteria and establishes a regulatory feedback loop that couples the IF17-mediated GS inactivation to the intracellular glutamine levels. Together with the previously described sRNA NsiR4, these results show that non-coding RNA is an indispensable component in the control of nitrogen assimilation in cyanobacteria.",2018,Nucleic Acids Research,"Klähn S., Bolay P., Wright P., Atilho R., Brewer K., Hagemann M., Breaker R., Hess W.",BBa_J23101,biobrick_fulltext_search
PMC6228582,30425888,10.7717/peerj.5862,PromoterPredict: sequence-based modelling of Escherichia coli σ70 promoter strength yields logarithmic dependence between promoter strength and sequence,"We present PromoterPredict, a dynamic multiple regression approach to predict the strength of Escherichia coli promoters binding the σ70 factor of RNA polymerase. σ70 promoters are ubiquitously used in recombinant DNA technology, but characterizing their strength is demanding in terms of both time and money. We parsed a comprehensive database of bacterial promoters for the −35 and −10 hexamer regions of σ70-binding promoters and used these sequences to construct the respective position weight matrices (PWM). Next we used a well-characterized set of promoters to train a multivariate linear regression model and learn the mapping between PWM scores of the −35 and −10 hexamers and the promoter strength. We found that the log of the promoter strength is significantly linearly associated with a weighted sum of the −10 and −35 sequence profile scores. We applied our model to 100 sets of 100 randomly generated promoter sequences to generate a sampling distribution of mean strengths of random promoter sequences and obtained a mean of 6E-4 ± 1E-7. Our model was further validated by cross-validation and on independent datasets of characterized promoters. PromoterPredict accepts −10 and −35 hexamer sequences and returns the predicted promoter strength. It is capable of dynamic learning from user-supplied data to refine the model construction and yield more robust estimates of promoter strength. PromoterPredict is available as both a web service (https://promoterpredict.com) and standalone tool (https://github.com/PromoterPredict). Our work presents an intuitive generalization applicable to modelling the strength of other promoter classes.",2018,PeerJ,"Bharanikumar R., Premkumar K., Palaniappan A.",BBa_J23100;BBa_J23101;BBa_J23102;BBa_J23104;BBa_J23105;BBa_J23106;BBa_J23107;BBa_J23108;BBa_J23109;BBa_J23110;BBa_J23111;BBa_J23112;BBa_J23113;BBa_J23114;BBa_J23115;BBa_J23116;BBa_J23117;BBa_J23118,biobrick_fulltext_search
PMC6099721,29857551,10.3390/molecules23061328,Replacing Standard Reporters from Molecular Cloning Plasmids with Chromoproteins for Positive Clone Selection,"Cloning and expression plasmids are the workhorses of modern molecular biology. Despite the pathway paved by synthetic biology, laboratories around the globe still relay on standard cloning techniques using plasmids with reporter proteins for positive clone selection, such as β-galactosidase alpha peptide complementation for blue/white screening or ccdB, which encodes for a toxic DNA gyrase. These reporters, when interrupted, serve as a positive clone detection system. In the present report, we show that molecular cloning plasmids bearing the coding sequence for a 25.4 kDa protein, AmilCP, encoded by a 685 bp gene, that is well expressed in Escherichia coli, render blue-purple colonies. Using this reporter protein, we developed and tested a cloning system based on the constitutive expression of the non-toxic AmilCP protein, that once interrupted, the loss of purple color serves to facilitate positive clone selection. The main advantage of this system is that is less expensive than other systems since media do not contain chromogenic markers such as X-gal, which is both expensive and cumbersome to prepare and use, or inductors such as IPTG. We also designed an inducible expression plasmid suitable for recombinant protein expression that also contains AmilCP cloning selection marker, a feature not commonly found in protein expression plasmids. The use of chromogenic reporters opens an important avenue for its application in other organisms besides E. coli for clone selection or even for mutant selection.",2018,Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry,"Tafoya-Ramírez M., Padilla-Vaca F., Ramírez-Saldaña A., Mora-Garduño J., Rangel-Serrano Á., Vargas-Maya N., Herrera-Gutiérrez L., Franco B.",BBa_B0015;BBa_B0035;BBa_J23100;BBa_J97001;BBa_K125340;BBa_K864400,biobrick_fulltext_search
PMC6212791,29986052,10.1093/nar/gky596,MetClo: methylase-assisted hierarchical DNA assembly using a single type IIS restriction enzyme,"Efficient DNA assembly is of great value in biological research and biotechnology. Type IIS restriction enzyme-based assembly systems allow assembly of multiple DNA fragments in a one-pot reaction. However, large DNA fragments can only be assembled by alternating use of two or more type IIS restriction enzymes in a multi-step approach. Here, we present MetClo, a DNA assembly method that uses only a single type IIS restriction enzyme for hierarchical DNA assembly. The method is based on in vivo methylation-mediated on/off switching of type IIS restriction enzyme recognition sites that overlap with site-specific methylase recognition sequences. We have developed practical MetClo systems for the type IIS enzymes BsaI, BpiI and LguI, and demonstrated hierarchical assembly of large DNA fragments up to 218 kb. The MetClo approach substantially reduces the need to remove internal restriction sites from components to be assembled. The use of a single type IIS enzyme throughout the different stages of DNA assembly allows novel and powerful design schemes for rapid large-scale hierarchical DNA assembly. The BsaI-based MetClo system is backward-compatible with component libraries of most of the existing type IIS restriction enzyme-based assembly systems, and has potential to become a standard for modular DNA assembly.",2018,Nucleic Acids Research,"Lin D., O’Callaghan C.",BBa_J23100,biobrick_fulltext_search
PMC6150374,29140285,10.3390/molecules22111975,Chitosan/Cyclodextrin/TPP Nanoparticles Loaded with Quercetin as Novel Bacterial Quorum Sensing Inhibitors,"The widespread emergence of antibiotic-resistant bacteria has highlighted the urgent need of alternative therapeutic approaches for human and animal health. Targeting virulence factors that are controlled by bacterial quorum sensing (QS), seems a promising approach. The aims of this study were to generate novel nanoparticles (NPs) composed of chitosan (CS), sulfo-butyl-ether-β-cyclodextrin (Captisol®) and/or pentasodium tripolyphosphate using ionotropic gelation technique, and to evaluate their potential capacity to arrest QS in bacteria. The resulting NPs were in the size range of 250–400 nm with CS70/5 and 330–600 nm with CS70/20, had low polydispersity index (<0.25) and highly positive zeta potential ranging from ζ ~+31 to +40 mV. Quercetin, a hydrophobic model flavonoid, could be incorporated proportionally with increasing amounts of Captisol® in the NPs formualtion, without altering significantly its physicochemical properties. Elemental analysis and FTIR studies revealed that Captisol® and quercetin were effectively integrated into the NPs. These NPs were stable in M9 bacterial medium for 7 h at 37 °C. Further, NPs containing Captisol® seem to prolong the release of associated drug. Bioassays against an E. coli Top 10 QS biosensor revealed that CS70/5 NPs could inhibit QS up to 61.12%, while CS70/20 NPs exhibited high antibacterial effects up to 88.32%. These results suggested that the interaction between NPs and the bacterial membrane could enhance either anti-QS or anti-bacterial activities.",2017,Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry,"Thanh Nguyen H., Goycoolea F.",BBa_T9002,biobrick_fulltext_search
PMC6164843,30181497,10.3390/biom8030087,Assessment of the Quorum Sensing Inhibition Activity of a Non-Toxic Chitosan in an N-Acyl Homoserine Lactone (AHL)-Based Escherichia coli Biosensor,"New approaches to deal with drug-resistant pathogenic bacteria are urgent. We studied the antibacterial effect of chitosans against an Escherichia coli quorum sensing biosensor reporter strain and selected a non-toxic chitosan to evaluate its quorum sensing (QS) inhibition activity and its effect on bacterial aggregation. To this end, chitosans of varying degree of acetylation (DA) (12 to 69%) and molecular weight (Mw) (29 to 288 kDa) were studied. Only chitosans of low DA (~12%) inhibited bacterial growth, regardless of their Mw. A chitosan with medium degree of polymerization (named MDP) DA30, with experimental DA 42% and Mw 115 kDa was selected for further QS inhibition and scanning electron microscopy (SEM) imaging studies. MDP DA30 chitosan exhibited QS inhibition activity in an inverse dose-dependent manner (≤12.5 µg/mL). SEM images revealed that this chitosan, when added at low concentration (≤30.6 µg/mL), induced substantial bacterial aggregation, whereas at high concentration (234.3 µg/mL), it did not. Aggregation explains the QS inhibition activity as the consequence of retardation of the diffusion of N-acylated homoserine lactones (AHLs).",2018,Biomolecules,"Qin X., Emich J., Goycoolea F.",BBa_T9002,biobrick_fulltext_search
PMC6209979,30274179,10.3390/genes9100473,Lysine Acetylation Regulates Alanyl-tRNA Synthetase Activity in Escherichia coli,"Protein lysine acetylation is a widely conserved posttranslational modification in all three domains of life. Lysine acetylation frequently occurs in aminoacyl-tRNA synthetases (aaRSs) from many organisms. In this study, we determined the impact of the naturally occurring acetylation at lysine-73 (K73) in Escherichia coli class II alanyl-tRNA synthetase (AlaRS) on its alanylation activity. We prepared an AlaRS K73Ac variant in which Nε-acetyl-l-lysine was incorporated at position 73 using an expanded genetic code system in E. coli. The AlaRS K73Ac variant showed low activity compared to the AlaRS wild type (WT). Nicotinamide treatment or CobB-deletion in an E. coli led to elevated acetylation levels of AlaRS K73Ac and strongly reduced alanylation activities. We assumed that alanylation by AlaRS is affected by K73 acetylation, and the modification is sensitive to CobB deacetylase in vivo. We also showed that E. coli expresses two CobB isoforms (CobB-L and CobB-S) in vivo. CobB-S displayed the deacetylase activity of the AlaRS K73Ac variant in vitro. Our results imply a potential regulatory role for lysine acetylation in controlling the activity of aaRSs and protein synthesis.",2018,Genes,"Umehara T., Kosono S., Söll D., Tamura K.",BBa_B1006,biobrick_fulltext_search
PMC6158846,30275907,10.1186/s13068-018-1268-8,Enhancement of photosynthetic isobutanol production in engineered cells of Synechocystis PCC 6803,"Cyanobacteria, oxygenic photoautotrophic prokaryotes, can be engineered to produce various valuable chemicals from solar energy and CO2 in direct processes. The concept of photosynthetic production of isobutanol, a promising chemical and drop-in biofuel, has so far been demonstrated for Synechocystis PCC 6803 and Synechococcus elongatus PCC 7942. In Synechocystis PCC 6803, a heterologous expression of α-ketoisovalerate decarboxylase (Kivd) from Lactococcus lactis resulted in an isobutanol and 3-methyl-1-butanol producing strain. Kivd was identified as a bottleneck in the metabolic pathway and its activity was further improved by reducing the size of its substrate-binding pocket with a single replacement of serine-286 to threonine (KivdS286T). However, isobutanol production still remained low. In the present study, we report on how cultivation conditions significantly affect the isobutanol production in Synechocystis PCC 6803. A HCl-titrated culture grown under medium light (50 μmol photons m−2 s−1) showed the highest isobutanol production with an in-flask titer of 194 mg l−1 after 10 days and 435 mg l−1 at day 40. This corresponds to a cumulative isobutanol production of 911 mg l−1, with a maximal production rate of 43.6 mg l−1 day−1 observed between days 4 and 6. Additional metabolic bottlenecks in the isobutanol biosynthesis pathway were further addressed. The expression level of KivdS286T was significantly affected when co-expressed with another gene downstream in a single operon and in a convergent oriented operon. Moreover, the expression of the ADH encoded by codon-optimized slr1192 and co-expression of IlvC and IlvD were identified as potential approaches to further enhance isobutanol production in Synechocystis PCC 6803. The present study demonstrates the importance of a suitable cultivation condition to enhance isobutanol production in Synechocystis PCC 6803. Chemostat should be used to further increase both the total titer as well as the rate of production. Furthermore, identified bottleneck, Kivd, should be expressed at the highest level to further enhance isobutanol production. The online version of this article (10.1186/s13068-018-1268-8) contains supplementary material, which is available to authorized users.",2018,Biotechnology for Biofuels,"Miao R., Xie H., Lindblad P.",BBa_B0015,biobrick_fulltext_search
PMC6182181,30169636,10.1093/nar/gky785,Programmable T7-based synthetic transcription factors,"Despite recent progress on synthetic transcription factor generation in eukaryotes, there remains a need for high-activity bacterial versions of these systems. In synthetic biology applications, it is useful for transcription factors to have two key features: they should be orthogonal (influencing only their own targets, with minimal off-target effects), and programmable (able to be directed to a wide range of user-specified transcriptional start sites). The RNA polymerase of the bacteriophage T7 has a number of appealing properties for synthetic biological designs: it can produce high transcription rates; it is a compact, single-subunit polymerase that has been functionally expressed in a variety of organisms; and its viral origin reduces the connection between its activity and that of its host's transcriptional machinery. We have created a system where a T7 RNA polymerase is recruited to transcriptional start sites by DNA binding proteins, either directly or bridged through protein–protein interactions, yielding a modular and programmable system for strong transcriptional activation of multiple orthogonal synthetic transcription factor variants in Escherichia coli. To our knowledge this is the first exogenous, programmable activator system in bacteria.",2018,Nucleic Acids Research,"Hussey B., McMillen D.",BBa_I202079;BBa_J04500,biobrick_fulltext_search
PMC6133370,30204806,10.1371/journal.pone.0203898,Design and characterization of a synthetic minimal promoter for heterocyst-specific expression in filamentous cyanobacteria,"Short and well defined promoters are essential for advancing cyanobacterial biotechnology. The heterocyst of Nostoc sp. is suggested as a microbial cell factory for oxygen sensitive catalysts, such as hydrogenases for hydrogen production, due to its microoxic environment. We identified and predicted promoter elements of possible significance through a consensus strategy using a pool of heterocyst-induced DIF+ promoters known from Anabaena sp. PCC 7120. To test if these conserved promoter elements were crucial for heterocyst-specific expression, promoter-yfp reporter constructs were designed. The characterization was accomplished by replacing, -35 and -10 regions and the upstream element, with well described elements from the trc promoter of Escherichia coli, which is also functional in Nostoc sp. From the in vivo spatial fluorescence of the different promoter-yfp reporters in Nostoc punctiforme ATCC 29133, we concluded that both the consensus -35 and extended -10 regions were important for heterocyst-specific expression. Further that the promoter strength could be improved by the addition of an upstream element. We designed a short synthetic promoter of 48 nucleotides, PsynDIF, including a consensus DIF1 sequence, a 17 base pair stretch of random nucleotides and an extended consensus -10 region, and thus generated the shortest promoter for heterocyst-specific expression to date.",2018,PLoS ONE,"Wegelius A., Li X., Turco F., Stensjö K.",BBa_b0052;BBa_b1007,biobrick_fulltext_search
PMC6133276,30204770,10.1371/journal.pone.0198058,Filamentation and restoration of normal growth in Escherichia coli using a combined CRISPRi sgRNA/antisense RNA approach,"CRISPR interference (CRISPRi) using dCas9-sgRNA is a powerful tool for the exploration and manipulation of gene functions. Here we quantify the reversible switching of a central process of the bacterial cell cycle by CRISPRi and an antisense RNA mechanism. Reversible induction of filamentous growth in E. coli has been recently demonstrated by controlling the expression levels of the bacterial cell division proteins FtsZ/FtsA via CRISPRi. If FtsZ falls below a critical level, cells cannot divide. However, the cells remain metabolically active and continue with DNA replication. We surmised that this makes them amenable to an inducible antisense RNA strategy to counteract FtsZ inhibition. We show that both static and inducible thresholds can adjust the characteristics of the switching process. Combining bulk data with single cell measurements, we characterize the efficiency of the switching process. Successful restoration of division is found to occur faster in the presence of antisense sgRNAs than upon simple termination of CRISPRi induction.",2018,PLoS ONE,"Mückl A., Schwarz-Schilling M., Fischer K., Simmel F.",BBa_C0261,biobrick_fulltext_search
PMC6127294,30190458,10.1038/s41467-018-05857-3,Jungle Express is a versatile repressor system for tight transcriptional control,"Tightly regulated promoters are essential for numerous biological applications, where strong inducibility, portability, and scalability are desirable. Current systems are often incompatible with large-scale fermentations due to high inducer costs and strict media requirements. Here, we describe the bottom-up engineering of ‘Jungle Express’, an expression system that enables efficient gene regulation in diverse proteobacteria. This system is guided by EilR, a multidrug-binding repressor with high affinity to its optimized operator and cationic dyes that act as powerful inducers at negligible costs. In E. coli, the engineered promoters exhibit minimal basal transcription and are inducible over four orders of magnitude by 1 µM crystal violet, reaching expression levels exceeding those of the strongest current bacterial systems. Further, we provide molecular insights into specific interactions of EilR with its operator and with two inducers. The versatility of Jungle Express opens the way for tightly controlled and efficient gene expression that is not restricted to host organism, substrate, or scale. Tightly regulated promoters with strong inducibility and scalability are highly desirable for biological applications. Here the authors describe ‘Jungle Express’, a EilR repressor-based broad host system activated by cationic dyes.",2018,Nature Communications,"Ruegg T., Pereira J., Chen J., DeGiovanni A., Novichkov P., Mutalik V., Tomaleri G., Singer S., Hillson N., Simmons B.",BBa_B0011;BBa_B0015;BBa_E1010,biobrick_fulltext_search
PMC6115493,30191150,10.3389/fbioe.2018.00118,Development of a Metabolite Sensor for High-Throughput Detection of Aldehydes in Escherichia Coli,"We have developed a fluorescence-based metabolite sensor enabling in vivo detection of various aldehydes of biotechnological interest in Escherichia coli. YqhC is a transcriptional regulator that is known to be involved in the upregulation of the yqhD-dgkA operon in the presence of aldehydes. We took advantage of this property by constructing a bi-modular biosensor, in which a sensing module constitutively expresses yqhC while a reporter module drives the expression of the syfp2 reporter gene that is put under control of the yqhD promoter. The sensitivity of the sensor has been optimized by engineering the 5′-UTRs of both the sensing and the reporter modules resulting in a 70-fold gain of fluorescence in response to the model compound glycolaldehyde at 5 mM. The optimized sensor further responded to other aldehydes when supplemented to the cultivation medium at concentrations of 1–10 mM. We furthermore showed that this metabolite sensor was functional in vivo as it responded to the presence of glycoladehyde that is specifically produced upon induction of a synthetic xylulose-1-phosphate pathway expressed in E. coli. This bi-modular sensor can therefore be employed as an exquisite tool for FACS-based ultra-high-throughput screening of aldehyde (over) producing enzymes.",2018,Frontiers in Bioengineering and Biotechnology,"Frazão C., Maton V., François J., Walther T.",BBa_J23106;BBa_J23113;BBa_J23114,biobrick_fulltext_search
PMC6127279,30190534,10.1038/s41467-018-05830-0,Utilization of rare codon-rich markers for screening amino acid overproducers,"The translation of rare codons relies on their corresponding rare tRNAs, which could not be fully charged under amino acid starvation. Theoretically, disrupted or retarded translation caused by the lack of charged rare tRNAs can be partially restored by feeding or intracellular synthesis of the corresponding amino acids. Inspired by this assumption, we develop a screening or selection system for obtaining overproducers of a target amino acid by replacing its common codons with the corresponding synonymous rare alternative in the coding sequence of selected reporter proteins or antibiotic-resistant markers. Results show that integration of rare codons can inhibit gene translations in a frequency-dependent manner. As a proof-of-concept, Escherichia coli strains overproducing l-leucine, l-arginine or l-serine are successfully selected from random mutation libraries. The system is also applied to Corynebacterium glutamicum to screen out l-arginine overproducers. This strategy sheds new light on obtaining and understanding amino acid overproduction strains. Current toxic analogues-based amino acid overproducer screening method cannot provide accuracy, sensitivity and high throughput simultaneously. Here, the authors use rare codon rich marker for the selection of overproducers of multiple amino acids from random mutation libraries of E. coli and C. glutamicum.",2018,Nature Communications,"Zheng B., Ma X., Wang N., Ding T., Guo L., Zhang X., Yang Y., Li C., Huo Y.",BBa_J23100;BBa_J23118,biobrick_fulltext_search
PMC6125409,30185875,10.1038/s41598-018-31482-7,EpCAM homo-oligomerization is not the basis for its role in cell-cell adhesion,"Cell-surface tumor marker EpCAM plays a key role in proliferation, differentiation and adhesion processes in stem and epithelial cells. It is established as a cell-cell adhesion molecule, forming intercellular interactions through homophilic association. However, the mechanism by which such interactions arise has not yet been fully elucidated. Here, we first show that EpCAM monomers do not associate into oligomers that would resemble an inter-cellular homo-oligomer, capable of mediating cell-cell adhesion, by using SAXS, XL-MS and bead aggregation assays. Second, we also show that EpCAM forms stable dimers on the surface of a cell with pre-formed cell-cell contacts using FLIM-FRET; however, no inter-cellular homo-oligomers were detectable. Thus, our study provides clear evidence that EpCAM indeed does not function as a homophilic cell adhesion molecule and therefore calls for a significant revision of its role in both normal and cancerous tissues. In the light of this, we strongly support the previously suggested name Epithelial Cell Activating Molecule instead of the Epithelial Cell Adhesion Molecule.",2018,Scientific Reports,"Gaber A., Kim S., Kaake R., Benčina M., Krogan N., Šali A., Pavšič M., Lenarčič B.",BBa_K1365020;BBa_K773003,biobrick_fulltext_search
